0	787872
787873	1141830
1141831	1445868
1445869	1761479
1761480	2080501
2080502	2450158
2450159	2798876
2798877	3175775
3175776	3475284
3475285	3796243
3796244	4084883
4084884	4415353
4415354	4812133
4812134	5192086
5192087	5515859
5515860	5845246
5845247	6199300
6199301	6551636
6551637	6978057
6978058	7314539
7314540	7646493
7646494	7996759
7996760	8371110
8371111	8747657
8747658	9088572
9088573	9389499
9389500	9711273
9711274	10065138
10065139	10450639
10450640	10759568
10759569	11138254
11138255	11517874
11517875	11866130
11866131	12210096
12210097	12513432
12513433	12857891
12857892	13237736
13237737	13631966
13631967	13995000
13995001	14324719
14324720	14674847
14674848	15027720
15027721	15375900
15375901	15822547
15822548	16220292
16220293	16575289
16575290	16987786
16987787	17417589
17417590	17868263
17868264	18420108
18420109	18908731
18908732	19492423
19492424	19999274
19999275	20668995
20668996	23011543
