0	2065250
2065251	3390033
3390034	4408995
4408996	5277921
5277922	6103763
6103764	6793189
6793190	7364939
7364940	7963392
7963393	8529071
8529072	9015678
9015679	9443412
9443413	9876722
9876723	10298884
10298885	10698007
10698008	11144059
11144060	11600519
11600520	12102961
12102962	12608677
12608678	13017470
13017471	13399246
13399247	13764884
13764885	14154448
14154449	14561380
14561381	14923926
14923927	15293288
15293289	15684488
15684489	16100525
16100526	16468591
16468592	16872249
16872250	17247703
17247704	17692208
17692209	18088334
18088335	18510012
18510013	18863857
18863858	19220466
19220467	19638345
19638346	20120859
20120860	20539655
20539656	21003389
21003390	21404485
21404486	21780669
21780670	22156881
22156882	22555183
22555184	22926842
22926843	23332628
23332629	23770232
23770233	24184382
24184383	24652089
24652090	25089708
25089709	25437467
25437468	25847699
25847700	26177098
26177099	26532377
26532378	26880520
26880521	27905052
