0	751760
751761	1124376
1124377	1492623
1492624	1876826
1876827	2225915
2225916	2526504
2526505	2886252
2886253	3314065
3314066	3698715
3698716	4029901
4029902	4378406
4378407	4711227
4711228	5117795
5117796	5469486
5469487	5870627
5870628	6276696
6276697	6739028
6739029	7112345
7112346	7500846
7500847	7929310
7929311	8345147
8345148	8757230
8757231	9176034
9176035	9585121
9585122	9989705
9989706	10353467
10353468	10692870
10692871	11035190
11035191	11384074
11384075	11749079
11749080	12125206
12125207	12473330
12473331	12813944
12813945	13192759
13192760	13674943
13674944	14109764
14109765	14523239
14523240	15024410
15024411	15489487
15489488	15995805
15995806	16449431
16449432	16911380
16911381	17542650
17542651	18088176
18088177	18408332
18408333	18916005
18916006	19573018
19573019	20859653
20859654	24543556
