0	1366025
1366026	2477207
2477208	3279576
3279577	4043050
4043051	4612182
4612183	5308496
5308497	6005075
6005076	6440055
6440056	6859571
6859572	7281706
7281707	7703263
7703264	8160573
8160574	8612721
8612722	9002230
9002231	9419152
9419153	9811931
9811932	10309392
10309393	10686486
10686487	11083570
11083571	11573894
11573895	12023493
12023494	12389574
12389575	12758606
12758607	13145258
13145259	13597041
13597042	13962358
13962359	14401918
14401919	14789019
14789020	15154207
15154208	15671329
15671330	16108708
16108709	16485443
16485444	16836662
16836663	17169850
17169851	17559314
17559315	17911650
17911651	18313799
18313800	18730165
18730166	19125741
19125742	19518579
19518580	20033236
20033237	21146707
