0	974084
974085	1734831
1734832	2420139
2420140	2807223
2807224	3161938
3161939	3521422
3521423	3947237
3947238	4347299
4347300	4718572
4718573	5090609
5090610	5443196
5443197	5794404
5794405	6186449
6186450	6571125
6571126	6947727
6947728	7320160
7320161	7752064
7752065	8182459
8182460	8537670
8537671	8839704
8839705	9204215
9204216	9528180
9528181	9845061
9845062	10174100
10174101	10587503
10587504	10983711
10983712	11363266
11363267	11846408
11846409	12188130
12188131	12535135
12535136	12908866
12908867	13268964
13268965	13615350
13615351	14022863
14022864	14379589
14379590	14698689
14698690	15046204
15046205	15426810
15426811	15847988
15847989	16292463
16292464	16719755
16719756	17073421
17073422	17430638
17430639	17851138
17851139	18213897
18213898	18597861
18597862	18975289
18975290	19316335
19316336	19725506
19725507	20182896
20182897	20527291
20527292	20893609
20893610	21283199
21283200	22422826
